playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475796,2021,Mark Pysyk,BUF,D,other,22,447.0,14.0,2.1,0.35,0.23,0.25,0.39,0.33,0.31,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,8.0,0.0,5.0,1.0,1.0,5.0,7.0,0.0,0.0,1284.0,0.0,0.0,0.0,1.0,1.51,0.65,0.65,0.65,0.65,3.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.09,0.0,0.56,2.0,0.0,1.0,3.0,3.0,3.0,0.04,0.0,0.0,0.69,0.69,0.69,4.65,1.22,1.19,1.22,1.19,6.0,0.0,3.0,9.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.55,0.68,0.0,1.0,0.0,9.0,6.0,6.0,0.12,0.25,0.25,1.09,1.09,1.08,0.91,3.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8475796,2021,Mark Pysyk,BUF,D,all,22,25309.0,534.0,4.18,0.41,0.45,0.43,0.5,0.44,0.48,83.0,27.95,1.22,1.67,7.68,0.97,17.41,12.05,1.21,1.19,1.17,1.0,3.0,27.0,14.0,9.0,50.0,4.0,0.0,1.0,0.0,7.0,2.0,16.0,15.0,27.0,41.0,3.0,6.0,0.0,16.0,10.0,5.0,39.0,2.0,0.0,0.96,0.27,0.0,0.0,0.0,0.0,48.26,41.0,39.28,5.0,0.33,0.14,0.0,1.55,1.5,1.49,534.0,30.0,102.0,82.0,320.0,64.0,59.0,68.0,343.0,0.0,0.0,54827.0,6.0,2.0,1.0,33.0,172.93,13.16,12.94,13.02,12.82,184.0,64.0,68.0,316.0,16.0,11.0,3.0,203.0,38.0,7.0,6.0,4.73,2.42,6.0,6.0,4.0,311.71,248.0,245.15,2.31,1.73,1.73,13.74,13.65,13.54,226.88,18.55,17.5,18.73,17.7,245.0,75.0,97.0,417.0,22.0,15.0,2.0,249.0,54.0,17.0,6.92,6.72,4.92,13.0,6.0,3.0,423.69,320.0,325.02,3.45,3.35,3.36,18.65,18.84,18.27,37.83,45.84,793.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0
8475796,2021,Mark Pysyk,BUF,D,5on5,22,22007.0,459.0,4.18,0.46,0.46,0.48,0.49,0.48,0.49,80.0,27.95,1.22,1.67,7.68,0.97,17.41,12.05,1.21,1.19,1.17,1.0,3.0,27.0,14.0,9.0,50.0,4.0,0.0,1.0,0.0,7.0,2.0,16.0,15.0,27.0,41.0,3.0,6.0,0.0,15.0,9.0,3.0,39.0,2.0,0.0,0.96,0.27,0.0,0.0,0.0,0.0,48.26,41.0,39.28,3.0,0.33,0.14,0.0,1.55,1.5,1.49,459.0,28.0,60.0,78.0,293.0,63.0,49.0,55.0,292.0,0.0,0.0,44846.0,6.0,2.0,1.0,22.0,164.33,11.68,11.47,11.55,11.34,172.0,64.0,66.0,302.0,13.0,11.0,3.0,195.0,36.0,5.0,5.76,4.44,1.49,4.0,6.0,3.0,297.71,236.0,233.15,2.19,1.73,1.73,12.14,12.06,11.95,182.93,13.77,12.87,13.94,13.05,204.0,53.0,76.0,333.0,13.0,12.0,2.0,205.0,40.0,12.0,5.98,4.83,2.96,8.0,4.0,1.0,339.69,257.0,262.02,2.45,2.65,2.66,13.57,13.76,13.27,26.2,30.31,627.0,640.0,1.32,0.25,31.0,5.0,27.0,5.0
8475796,2021,Mark Pysyk,BUF,D,4on5,22,2765.0,57.0,4.03,0.19,0.09,0.12,0.1,0.14,0.12,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,34.0,3.0,20.0,0.0,8.0,8.0,41.0,0.0,0.0,2857.0,0.0,0.0,0.0,0.0,7.1,0.82,0.82,0.82,0.82,9.0,0.0,1.0,10.0,0.0,0.0,0.0,6.0,2.0,1.0,0.15,0.3,0.38,0.0,0.0,0.0,10.0,9.0,9.0,0.08,0.0,0.0,0.91,0.91,0.9,39.3,3.56,3.45,3.56,3.45,35.0,22.0,18.0,75.0,8.0,2.0,0.0,44.0,10.0,3.0,0.94,1.34,1.28,5.0,1.0,2.0,75.0,57.0,57.0,0.88,0.45,0.45,3.99,3.99,3.91,0.61,6.0,9.0,78.0,0.01,0.0,1.0,0.0,1.0,0.0
8475796,2021,Mark Pysyk,BUF,D,5on4,22,90.0,4.0,0.2,0.0,0.33,1.0,0.59,0.0,0.47,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1067.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.72,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8478043,2021,Sam Lafferty,PIT,R,other,7,17.0,1.0,1.05,0.0,0.78,0.0,0.38,0.0,0.38,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.48,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8478043,2021,Sam Lafferty,PIT,R,all,7,3784.0,90.0,1.33,0.58,0.56,0.47,0.52,0.48,0.53,82.0,6.85,0.75,0.5,1.41,0.2,3.38,2.77,0.74,0.73,0.72,1.0,0.0,7.0,2.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,7.0,9.0,2.0,7.0,12.0,24.0,2.0,1.0,6.0,1.0,2.0,0.16,0.08,0.51,0.0,0.0,0.0,9.72,9.0,8.74,1.0,0.11,0.3,0.3,0.55,0.56,0.55,90.0,4.0,17.0,14.0,55.0,13.0,11.0,10.0,56.0,12.0,16.0,21813.0,7.0,7.0,2.0,1.0,29.82,2.86,2.76,2.84,2.75,29.0,12.0,9.0,50.0,2.0,4.0,0.0,27.0,10.0,4.0,0.71,1.17,0.98,0.0,2.0,0.0,50.38,41.0,40.91,0.44,0.86,0.86,2.44,2.46,2.42,30.94,2.11,2.05,2.12,2.07,30.0,14.0,13.0,57.0,2.0,1.0,0.0,35.0,9.0,0.0,1.03,1.07,0.0,2.0,0.0,0.0,57.51,44.0,44.73,0.45,0.15,0.15,2.4,2.43,2.39,23.31,18.03,363.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0
8478043,2021,Sam Lafferty,PIT,R,5on5,7,3334.0,75.0,1.33,0.61,0.51,0.51,0.5,0.53,0.52,80.0,6.11,0.74,0.49,1.38,0.17,3.17,2.05,0.73,0.73,0.71,1.0,0.0,6.0,2.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,6.0,8.0,2.0,7.0,9.0,23.0,2.0,1.0,5.0,1.0,2.0,0.15,0.08,0.51,0.0,0.0,0.0,8.72,8.0,7.74,1.0,0.1,0.3,0.3,0.54,0.55,0.54,75.0,4.0,11.0,13.0,47.0,13.0,8.0,10.0,44.0,9.0,15.0,17503.0,7.0,7.0,2.0,1.0,29.08,2.85,2.75,2.83,2.74,28.0,12.0,9.0,49.0,2.0,4.0,0.0,26.0,10.0,4.0,0.7,1.17,0.98,0.0,2.0,0.0,49.38,40.0,39.91,0.43,0.86,0.86,2.43,2.45,2.41,25.75,1.81,1.78,1.82,1.79,26.0,10.0,11.0,47.0,2.0,1.0,0.0,29.0,7.0,0.0,0.98,0.82,0.0,2.0,0.0,0.0,47.51,36.0,36.73,0.34,0.15,0.15,1.99,2.02,2.0,12.54,11.82,273.0,269.0,0.06,0.14,4.0,3.0,4.0,2.0
8478043,2021,Sam Lafferty,PIT,R,4on5,7,430.0,13.0,0.95,0.02,0.37,0.09,0.13,0.11,0.16,20.0,0.74,0.01,0.01,0.03,0.02,0.21,0.73,0.01,0.01,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,13.0,0.0,5.0,1.0,7.0,0.0,2.0,0.0,11.0,3.0,0.0,1006.0,0.0,0.0,0.0,0.0,0.74,0.01,0.01,0.01,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01,0.01,0.01,5.18,0.3,0.28,0.3,0.28,4.0,4.0,2.0,10.0,0.0,0.0,0.0,6.0,2.0,0.0,0.05,0.25,0.0,0.0,0.0,0.0,10.0,8.0,8.0,0.11,0.0,0.0,0.41,0.41,0.38,0.28,0.48,4.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0
8478043,2021,Sam Lafferty,PIT,R,5on4,7,3.0,1.0,1.05,0.0,0.0,0.0,0.5,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
