,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Leon Draisaitl,EDM,C,16,17,16,33,10,10,55,5,9,4,0,0,6,4
Andrew Mangiapane,CGY,LW,17,12,2,14,6,6,44,3,2,0,0,0,15,4
Kyle Connor,WPG,LW,17,12,10,22,10,2,79,0,1,4,0,0,9,4
Alex Ovechkin,WAS,LW,17,12,14,26,12,2,72,0,2,4,1,0,25,5
Chris Kreider,NYR,LW,17,12,3,15,2,10,52,0,7,0,0,0,40,7
Troy Terry,ANH,C,17,12,10,22,6,4,43,3,3,3,0,0,1,7
Connor McDavid,EDM,C,16,11,19,30,3,10,66,1,4,11,0,0,14,3
Pierre-Luc Dubois,WPG,C,17,10,6,16,8,18,52,2,3,1,0,0,25,13
Alex DeBrincat,CHI,RW,16,9,3,12,-3,9,47,1,3,1,0,0,24,8
Tyler Bertuzzi,DET,LW,16,9,8,17,8,12,34,2,1,1,0,0,15,10
Anthony Duclair,FLA,LW,17,9,7,16,14,2,34,0,1,2,0,0,6,6
Jordan Eberle,SEA,RW,17,9,5,14,-10,2,42,1,2,2,0,0,16,15
Matt Duchene,NSH,C,16,9,7,16,1,6,47,3,2,3,0,0,3,7
Steven Stamkos,TB,C,15,9,9,18,-2,2,41,1,4,3,0,0,14,7
Boone Jenner,CLS,LW,14,9,2,11,-4,6,46,1,4,0,0,0,13,12
Jonathan Marchessault,VGK,LW,15,9,4,13,-1,4,43,2,1,1,0,0,14,5
Aleksander Barkov,FLA,C,15,9,8,17,11,2,44,2,2,0,0,0,14,4
Elias Lindholm,CGY,RW,17,8,10,18,13,2,51,2,2,6,1,0,15,12
Brad Marchand,BOS,LW,13,8,11,19,1,14,31,1,2,7,0,0,18,3
John Tavares,TOR,C,17,8,8,16,-1,8,60,0,2,2,0,0,20,12
Anze Kopitar,LA,C,16,8,8,16,-3,2,46,1,3,3,0,0,14,20
Ryan Hartman,MIN,RW,16,8,4,12,11,8,53,3,1,0,0,0,14,9
Dylan Larkin,DET,C,15,8,7,15,1,14,50,3,2,1,0,0,6,8
Jordan Kyrou,STL,RW,16,8,10,18,7,0,41,0,2,4,0,1,2,6
Matthew Tkachuk,CGY,LW,17,8,7,15,8,18,58,0,5,3,0,0,21,4
Zach Hyman,EDM,RW,16,8,5,13,-2,6,47,1,3,2,1,0,12,5
Auston Matthews,TOR,C,15,7,8,15,1,2,63,3,4,3,0,0,14,11
Brandon Tanev,SEA,LW,17,7,2,9,-1,13,34,2,2,0,0,0,64,7
Sebastian Aho,CAR,LW,15,7,9,16,5,8,49,0,5,1,0,0,8,7
Jonathan Dahlen,SJ,LW,15,7,2,9,4,0,31,2,1,0,0,0,2,6
Brayden Point,TB,C,15,7,6,13,5,7,37,2,1,3,0,0,13,5
William Nylander,TOR,C,18,7,9,16,0,2,65,4,3,4,0,0,5,1
Pavel Zacha,NJ,C,15,7,4,11,-2,4,41,1,2,2,0,0,16,4
Claude Giroux,PHI,C,15,7,7,14,-1,8,49,0,1,2,0,0,12,2
Alex Killorn,TB,C,15,7,9,16,5,16,25,1,0,1,0,0,17,3
Tomas Hertl,SJ,LW,16,7,4,11,-8,6,49,0,1,2,0,0,15,6
J.T. Miller,VAN,C,18,7,12,19,1,6,44,1,2,5,0,0,46,11
Vladislav Namestnikov,DET,C,19,7,3,10,-1,8,27,0,0,0,0,0,17,11
Vladimir Tarasenko,STL,RW,16,7,7,14,0,4,66,2,0,4,0,1,15,14
Brock Nelson,NYI,C,13,7,2,9,-3,11,34,1,1,1,0,0,10,10
Cam Atkinson,PHI,RW,15,7,2,9,11,2,43,3,0,0,1,0,8,6
Drake Batherson,OTT,RW,14,7,9,16,1,6,42,0,0,5,0,0,37,5
Andrei Svechnikov,CAR,RW,15,7,11,18,10,24,47,1,1,6,0,0,28,0
Lucas Raymond,DET,RW,19,7,11,18,0,4,48,0,3,2,0,0,8,5
Eetu Luostarinen,FLA,LW,14,6,0,6,5,0,21,3,0,0,0,0,17,13
Josh Norris,OTT,C,15,6,4,10,1,4,39,0,3,0,0,0,18,12
Trevor Zegras,ANH,C,16,6,4,10,-5,16,36,2,2,0,0,0,9,7
Gabriel Landeskog,COL,LW,12,6,8,14,9,12,34,1,0,3,0,0,19,12
Adam Henrique,ANH,C,18,6,9,15,7,4,53,0,2,2,0,0,10,16
Jonathan Huberdeau,FLA,LW,17,6,11,17,6,2,32,2,1,4,1,0,27,8
Brandon Saad,STL,LW,12,6,1,7,2,4,34,0,1,0,1,0,3,4
Andre Burakovsky,COL,LW,13,6,4,10,-3,4,23,1,2,2,0,0,10,4
Johnny Gaudreau,CGY,LW,17,6,13,19,11,2,55,2,1,1,0,0,2,1
Patrice Bergeron,BOS,C,13,6,7,13,6,4,40,2,3,3,0,0,18,7
Logan Couture,SJ,C,15,6,8,14,8,4,35,1,0,1,1,1,18,14
Patrick Kane,CHI,RW,12,6,11,17,0,0,56,2,2,4,0,0,3,2
David Perron,STL,RW,16,6,8,14,-1,12,40,1,3,3,0,0,10,3
Roman Josi,NSH,D,16,6,10,16,8,14,47,1,4,4,0,0,10,19
Reilly Smith,VGK,RW,17,6,6,12,3,4,52,2,1,1,1,0,21,9
Evgeny Kuznetsov,WAS,C,17,6,15,21,8,10,49,1,1,6,1,1,8,6
Evan Rodrigues,PIT,C,16,6,5,11,4,0,48,0,1,0,0,0,18,4
Timo Meier,SJ,LW,11,6,9,15,7,0,48,2,2,0,0,0,21,9
Nikolaj Ehlers,WPG,LW,17,6,7,13,8,6,65,1,0,1,0,0,6,6
Jared McCann,SEA,C,12,6,4,10,-8,6,22,0,3,0,0,0,15,5
Jake Guentzel,PIT,LW,15,6,7,13,-3,8,47,0,1,1,0,0,24,14
Alex Iafallo,LA,C,16,6,7,13,2,2,49,2,1,1,0,0,11,11
Joel Eriksson Ek,MIN,C,16,6,3,9,3,4,41,1,3,0,0,0,24,13
Andreas Johnsson,NJ,LW,15,6,5,11,8,10,24,0,1,0,0,0,12,4
Mikko Rantanen,COL,RW,11,6,6,12,1,10,38,0,3,1,0,0,8,4
Jesse Puljujarvi,EDM,RW,16,6,8,14,6,8,39,0,1,2,0,0,18,2
Conor Garland,VAN,RW,18,5,9,14,0,8,40,2,1,1,0,0,12,3
Travis Konecny,PHI,C,15,5,4,9,0,8,48,1,2,0,0,0,18,5
Tage Thompson,BUF,RW,16,5,4,9,2,4,44,0,1,0,0,0,11,5
Carter Verhaeghe,FLA,C,17,5,9,14,7,12,29,1,0,1,0,0,9,1
J.T. Compher,COL,C,12,5,4,9,0,6,24,0,1,2,1,0,7,9
Oliver Bjorkstrand,CLS,RW,14,5,12,17,-4,2,43,0,2,4,0,0,7,5
Adrian Kempe,LA,C,16,5,4,9,-3,14,48,1,0,2,0,0,26,3
Aaron Ekblad,FLA,D,17,5,8,13,14,4,51,0,1,3,0,0,20,15
Sam Bennett,FLA,LW,13,5,4,9,12,14,44,2,1,1,0,1,27,5
Chandler Stephenson,VGK,C,17,5,11,16,5,6,26,1,0,2,0,0,19,13
Lawson Crouse,ARI,LW,17,5,4,9,-1,22,42,1,0,2,0,0,39,7
Andrew Copp,WPG,C,17,5,11,16,12,6,45,1,1,1,1,1,15,9
Garnet Hathaway,WAS,RW,17,5,1,6,5,8,32,2,0,0,0,1,61,8
Danton Heinen,PIT,C,16,5,3,8,-2,8,35,0,2,0,0,0,19,13
Evgenii Dadonov,VGK,RW,17,5,4,9,6,0,49,1,1,0,0,0,15,8
Tyler Seguin,DAL,C,15,5,4,9,-5,4,42,1,1,2,0,0,14,7
Nazem Kadri,COL,C,14,5,14,19,1,26,40,0,2,5,0,0,12,3
Jesper Fast,CAR,RW,15,5,2,7,7,0,23,0,0,0,0,0,25,8
Teddy Blueger,PIT,C,16,5,2,7,1,2,29,0,0,0,0,0,28,10
Chris Tierney,OTT,C,15,5,1,6,-7,4,22,1,3,1,0,0,9,11
Bo Horvat,VAN,C,18,5,5,10,-2,10,46,0,1,1,0,0,15,9
Tom Wilson,WAS,RW,17,5,9,14,12,20,31,1,1,0,0,1,41,17
Dougie Hamilton,NJ,D,12,5,5,10,4,6,47,0,1,3,0,0,19,25
Marcus Foligno,MIN,LW,16,5,5,10,4,39,19,1,2,1,0,0,41,4
Sean Couturier,PHI,C,15,5,8,13,2,4,41,2,1,3,0,0,7,6
Charlie Coyle,BOS,C,13,5,3,8,-2,6,28,1,1,0,0,0,21,5
Jeff Skinner,BUF,LW,16,5,4,9,-2,2,52,1,0,2,0,0,4,7
Ryan Johansen,NSH,C,16,5,4,9,-6,6,21,1,2,1,0,0,11,10
Oliver Wahlstrom,NYI,RW,13,5,0,5,-1,8,33,1,2,0,0,0,23,4
Cale Makar,COL,D,12,5,8,13,-4,2,30,2,1,5,0,0,11,9
Alexandre Texier,CLS,C,14,5,1,6,1,0,24,0,0,0,0,0,5,2
Tanner Jeannot,NSH,LW,16,5,3,8,2,22,29,1,0,0,0,0,41,7
Victor Olofsson,BUF,LW,8,5,4,9,3,4,22,0,1,2,0,0,0,2
Dawson Mercer,NJ,C,15,5,6,11,6,10,36,0,0,1,0,0,7,6
Nils Hoglander,VAN,LW,18,5,4,9,5,8,46,0,0,1,0,0,7,5
Cole Sillinger,CLS,C,14,4,4,8,-1,15,40,1,0,1,0,0,8,6
Nick Suzuki,MON,C,19,4,10,14,-8,2,45,2,2,3,1,0,16,11
Jesper Bratt,NJ,LW,15,4,7,11,3,8,40,1,0,2,0,0,9,4
Joel Farabee,PHI,LW,15,4,3,7,8,4,23,0,1,0,0,0,22,5
Brandon Hagel,CHI,LW,13,4,2,6,-5,2,24,0,0,0,0,0,8,2
Alexis Lafreniere,NYR,LW,17,4,1,5,-1,8,26,2,0,0,0,0,29,7
Mike Hoffman,MON,LW,13,4,3,7,-9,2,34,2,2,3,0,0,8,4
Anders Lee,NYI,C,12,4,0,4,-4,6,31,1,0,0,0,0,14,3
Mika Zibanejad,NYR,C,17,4,10,14,3,2,44,0,2,4,0,1,12,9
Rickard Rakell,ANH,C,8,4,0,4,-2,2,29,0,2,0,0,0,6,6
Vincent Trocheck,CAR,C,15,4,9,13,9,16,28,1,2,2,0,0,32,8
Brock McGinn,PIT,LW,16,4,3,7,3,8,31,1,0,0,0,0,26,10
Sam Carrick,ANH,C,10,4,1,5,1,4,19,0,0,0,0,0,20,3
Ondrej Palat,TB,LW,15,4,6,10,1,8,32,3,0,0,0,0,27,13
Filip Forsberg,NSH,RW,9,4,3,7,-2,4,22,1,0,2,0,0,8,6
