,,,,Overall,,,,,,,PP,,SH,,Defense,
Player_Name,Team,Pos,Games,G,A,Pts,plusminus,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Leon Draisaitl,EDM,C,18,18,18,36,11,14,59,5,9,5,1,0,7,4
Andrew Mangiapane,CGY,LW,20,15,2,17,7,6,49,4,4,0,1,0,16,5
Alex Ovechkin,WAS,LW,19,15,15,30,13,2,82,0,3,4,1,0,29,5
Chris Kreider,NYR,LW,18,13,3,16,2,10,55,0,8,0,0,0,43,8
Matt Duchene,NSH,C,18,12,7,19,-2,6,56,3,4,3,0,0,5,7
Connor McDavid,EDM,C,18,12,20,32,4,10,71,1,4,12,0,0,15,3
Kyle Connor,WPG,LW,18,12,10,22,9,2,84,0,1,4,0,0,9,4
Troy Terry,ANH,C,18,12,10,22,5,4,44,3,3,3,0,0,1,7
Alex DeBrincat,CHI,RW,19,11,3,14,-7,9,54,1,3,1,0,0,27,9
Pierre-Luc Dubois,WPG,C,18,10,6,16,7,20,54,2,3,1,0,0,27,13
Steven Stamkos,TB,C,18,10,12,22,0,2,44,1,4,3,0,0,18,7
Jordan Eberle,SEA,RW,18,9,5,14,-11,2,42,1,2,2,0,0,17,15
Brock Nelson,NYI,C,15,9,2,11,-4,11,40,1,2,1,0,0,11,11
Boone Jenner,CLS,LW,16,9,4,13,-5,6,49,1,4,0,0,0,15,15
Jonathan Marchessault,VGK,LW,15,9,4,13,-1,4,43,2,1,1,0,0,14,5
Johnny Gaudreau,CGY,LW,20,9,14,23,15,4,68,3,1,2,0,0,4,2
Aleksander Barkov,FLA,C,15,9,8,17,11,2,44,2,2,0,0,0,14,4
Matthew Tkachuk,CGY,LW,20,9,9,18,12,20,68,1,5,3,0,0,25,6
Tyler Bertuzzi,DET,LW,17,9,8,17,9,12,38,2,1,1,0,0,15,11
Dylan Larkin,DET,C,16,9,7,16,1,14,53,3,2,1,0,0,6,8
Ryan Hartman,MIN,RW,18,9,4,13,10,15,61,3,1,0,0,0,16,9
Anthony Duclair,FLA,LW,18,9,7,16,14,2,35,0,1,2,0,0,6,6
Jake Guentzel,PIT,LW,17,8,7,15,-1,10,60,1,1,1,0,0,27,16
Zach Hyman,EDM,RW,18,8,6,14,-2,10,50,1,3,2,1,0,14,5
Sebastian Aho,CAR,LW,17,8,10,18,6,8,52,0,5,1,0,0,9,8
Joel Eriksson Ek,MIN,C,18,8,4,12,3,4,48,1,4,0,0,0,28,14
Tage Thompson,BUF,RW,18,8,5,13,2,4,51,0,2,0,0,0,13,5
Jordan Kyrou,STL,RW,18,8,10,18,6,0,47,0,2,4,0,1,2,6
