Player_Name,Team,Pos,Games,G,A,Pts,plusminus,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Leon Draisaitl,EDM,C,21,20,21,41,14,14,72,6,10,6,1,0,10,4
Alex Ovechkin,WAS,LW,23,19,18,37,16,4,98,1,4,5,1,0,32,6
Chris Kreider,NYR,LW,21,16,3,19,5,12,61,0,9,0,0,0,47,8
Andrew Mangiapane,CGY,LW,22,15,2,17,5,6,57,4,4,0,1,0,20,5
Connor McDavid,EDM,C,21,15,25,40,9,10,80,1,5,13,0,0,20,5
Troy Terry,ANH,C,23,15,10,25,3,6,53,3,4,3,0,0,1,9
Kyle Connor,WPG,LW,22,14,10,24,5,2,100,1,1,4,0,0,11,4
Auston Matthews,TOR,C,21,13,9,22,7,4,93,3,4,3,0,0,18,15
Matt Duchene,NSH,C,22,13,11,24,1,8,68,3,4,3,0,0,5,7
Alex DeBrincat,CHI,RW,21,12,3,15,-7,9,61,2,3,1,0,0,33,9
Ryan Hartman,MIN,RW,22,12,6,18,18,21,74,4,1,0,0,0,23,11
Timo Meier,SJ,LW,17,11,11,22,10,0,78,5,3,1,0,0,35,15
Pierre-Luc Dubois,WPG,C,22,11,7,18,5,22,67,2,4,1,0,0,28,17
Zach Hyman,EDM,RW,21,11,6,17,0,14,63,1,3,2,1,0,19,6
Steven Stamkos,TB,C,20,11,13,24,1,2,50,1,4,3,0,0,19,8
Jordan Eberle,SEA,RW,22,11,5,16,-11,2,50,1,3,2,0,0,18,19
John Tavares,TOR,C,23,11,14,25,6,10,75,1,3,2,0,0,21,16
Reilly Smith,VGK,RW,22,10,6,16,2,4,71,2,2,1,2,0,23,9
Boone Jenner,CLS,LW,20,10,4,14,-5,6,56,1,5,0,0,0,17,16
Filip Forsberg,NSH,RW,13,10,5,15,1,6,31,2,2,2,0,0,13,6
Mikko Rantanen,COL,RW,16,10,8,18,9,14,57,0,6,2,0,0,15,5
Roope Hintz,DAL,LW,20,10,5,15,5,8,57,3,1,3,2,0,22,11
Sebastian Aho,CAR,LW,21,10,10,20,5,10,64,0,5,1,0,0,12,9
Matthew Tkachuk,CGY,LW,22,10,9,19,11,22,73,1,5,3,0,0,25,6
Tage Thompson,BUF,RW,22,10,6,16,0,4,64,0,2,1,0,0,17,6
Jake Guentzel,PIT,LW,22,10,10,20,-5,12,85,1,2,3,0,0,30,19
William Nylander,TOR,C,24,10,13,23,6,6,88,4,3,5,0,0,5,3
Dylan Larkin,DET,C,20,10,11,21,6,14,58,3,2,2,0,0,8,8
Jared McCann,SEA,C,18,10,4,14,-5,6,36,0,5,0,0,0,20,7
Lucas Raymond,DET,RW,24,10,12,22,3,4,56,1,3,2,0,0,11,6
Cale Makar,COL,D,17,9,11,20,-1,2,49,2,1,7,0,0,20,18
Anthony Duclair,FLA,LW,19,9,8,17,14,2,35,0,1,3,0,0,6,6
Tyler Bertuzzi,DET,LW,20,9,9,18,9,12,49,2,1,1,0,0,19,14
Jordan Kyrou,STL,RW,22,9,14,23,3,2,56,0,2,5,0,1,2,7
Joel Eriksson Ek,MIN,C,22,9,4,13,4,10,59,1,4,0,0,0,33,18
Andreas Johnsson,NJ,LW,20,9,9,18,13,12,35,0,1,0,0,0,17,5
Jonathan Marchessault,VGK,LW,17,9,5,14,-3,6,51,2,1,1,0,0,19,6
Johnny Gaudreau,CGY,LW,22,9,16,25,14,4,73,3,1,3,0,0,4,2
Elias Lindholm,CGY,RW,22,9,14,23,18,2,66,2,3,6,1,0,20,14
Aleksander Barkov,FLA,C,15,9,8,17,11,2,44,2,2,0,0,0,14,4
Brock Nelson,NYI,C,15,9,2,11,-4,11,40,1,2,1,0,0,11,11
Marcus Foligno,MIN,LW,22,9,6,15,10,41,34,1,3,1,0,0,61,13
Nazem Kadri,COL,C,19,9,20,29,4,30,61,0,4,7,0,0,19,4
Brad Marchand,BOS,LW,18,9,15,24,0,32,48,1,3,8,0,0,30,3
Patrice Bergeron,BOS,C,19,8,10,18,4,6,63,2,3,6,0,0,26,15
Anze Kopitar,LA,C,21,8,15,23,-6,2,61,1,3,5,0,0,20,25
Jeff Skinner,BUF,LW,22,8,7,15,-3,2,64,1,1,2,0,0,7,8
J.T. Miller,VAN,C,24,8,15,23,-2,8,62,1,3,7,0,0,54,13
